member,boss_name,damage,unit1,unit2,unit3,unit4,unit5
POCHI,Porter,30500109232,B.Ade,RRH,Siren,Raven,S.Helm
POCHI,Plate,29471437543,Tove,Grave,S.Dorothy,Drake,X.Soline
POCHI,Plate,45241012308,Crown,Liter,Snow.HA,Helm,M.Mast
DAVID,Land Eater,24743640998,Cinderella,Rouge,X.Maiden,B.Ade,S.Anis
DAVID,Rebuild Fingers,36668968562,RRH,X.Brid,Helm,X.Diesel,Mih:bc
DAVID,Plate,43242732069,Crown,Snow.HA,Siren,S.Dorothy,M.Mast
DOROJON,Material H,34996021427,SBS,Nayuta,Siren,Liberalio,M.Mast
DOROJON,Plate,33540248251,Grave,Liter,Snow.HA,S.Dorothy,S.Elegg
DOROJON,Rebuild Fingers,28011534418,RRH,X.Brid,Helm,X.Diesel,Mih:bc
KENSH,Rebuild Fingers,29221373030,Crown,RRH,Liter,Mih:bc,Helm
KENSH,Material H,35573014884,Nayuta,SBS,Siren,Liberalio,Velvet
KENSH,Land Eater,24894779142,Cinderella,Rouge,X.Maiden,B.Ade,S.Anis
GRAD,Material H,32465084044,Siren,Nayuta,SBS,Liberalio,Velvet
GRAD,Rebuild Fingers,24656582640,RRH,X.Brid,Helm,X.Diesel,Mih:bc
GRAD,Plate,26285947489,Liter,Crown,Snow.HA,S.Dorothy,S.Elegg
OCTO,Porter,18962436656,Miranda,B.Ade,RRH,Raven,S.Helm
OCTO,Plate,34008662668,Crown,Liter,Snow.HA,Helm,M.Mast
OCTO,Material H,30179870564,Nayuta,SBS,Siren,Liberalio,Velvet
KIRTSU,Land Eater,18687894838,Cinderella,Rouge,S.Anis,B.Ade,X.Maiden
KIRTSU,Plate,30977631890,RRH,Snow.HA,S.Dorothy,Crown,S.Elegg
KIRTSU,Material H,31474046428,Nayuta,Siren,Velvet,SBS,Liberalio
MAKOTO,Material H,33710956879,Nayuta,SBS,Siren,Liberalio,Velvet
MAKOTO,Porter,19801507363,Miranda,Crown,RRH,Raven,S.Helm
MAKOTO,Plate,27246227425,Liter,Grave,Snow.HA,S.Dorothy,S.Elegg
KAKAROTO,Material H,32299439573,Siren,Nayuta,SBS,Liberalio,M.Mast
KAKAROTO,Land Eater,23040019457,S.Anis,Rouge,Cinderella,Mari,X.Maiden
KAKAROTO,Rebuild Fingers,24886620100,Liter,Crown,RRH,Mih:bc,Helm
