member,boss_name,damage,unit1,unit2,unit3,unit4,unit5
David,Material H,47000000000,Siren,Nayuta,SBS,Lib,Velvet
David,Land Eater,22000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
David,Rebuild Fingers,24000000000,Crown,Siren,Rapi,Mihara,Priv
David,Plate,19000000000,Crown,Siren,SWha,Priv,Elegg
David,Porter,21000000000,Grave,Liter,Rapi,Raven,Summer Helm
David,Land Eater,20000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
David,Rebuild Fingers,21000000000,Rapi,Brid,Thelm,Diesel,Mihara
David,Rebuild Fingers,22000000000,Crown,Siren,Rapi,Mihara,Mast
David,Plate,18000000000,Crown,Moran,SWha,Priv,Thelm
David,Porter,20000000000,Crown,Moran,Rapi,Thelm,Mast
David,Porter,19000000000,Crown,Siren,Rapi,Thelm,Priv
Alice,Material H,35000000000,Siren,Nayuta,SBS,Lib,Velvet
Alice,Land Eater,18000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Alice,Land Eater,17000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Alice,Rebuild Fingers,20000000000,Rapi,Brid,Thelm,Diesel,Mihara
Alice,Rebuild Fingers,19000000000,Crown,Siren,Rapi,Mihara,Mast
Alice,Rebuild Fingers,18000000000,Crown,Siren,Rapi,Mihara,Priv
Alice,Plate,26000000000,Crown,Moran,SWha,Priv,Thelm
Alice,Plate,24000000000,Crown,Siren,SWha,Priv,Elegg
Alice,Porter,23000000000,Crown,Siren,Rapi,Thelm,Priv
Alice,Porter,22000000000,Grave,Liter,Rapi,Raven,Summer Helm
Alice,Porter,21000000000,Crown,Moran,Rapi,Thelm,Mast
Bob,Material H,42000000000,Siren,Nayuta,SBS,Lib,Velvet
Bob,Land Eater,25000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Bob,Land Eater,24000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Bob,Rebuild Fingers,17000000000,Crown,Siren,Rapi,Mihara,Mast
Bob,Rebuild Fingers,16000000000,Rapi,Brid,Thelm,Diesel,Mihara
Bob,Rebuild Fingers,16000000000,Crown,Siren,Rapi,Mihara,Priv
Bob,Plate,22000000000,Crown,Siren,SWha,Priv,Elegg
Bob,Plate,21000000000,Crown,Moran,SWha,Priv,Thelm
Bob,Porter,19000000000,Crown,Moran,Rapi,Thelm,Mast
Bob,Porter,18000000000,Grave,Liter,Rapi,Raven,Summer Helm
Bob,Porter,17000000000,Crown,Siren,Rapi,Thelm,Priv
Carol,Material H,38000000000,Siren,Nayuta,SBS,Lib,Velvet
Carol,Land Eater,16000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Carol,Land Eater,15000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Carol,Rebuild Fingers,28000000000,Rapi,Brid,Thelm,Diesel,Mihara
Carol,Rebuild Fingers,27000000000,Crown,Siren,Rapi,Mihara,Mast
Carol,Rebuild Fingers,26000000000,Crown,Siren,Rapi,Mihara,Priv
Carol,Plate,21000000000,Crown,Moran,SWha,Priv,Thelm
Carol,Plate,20000000000,Crown,Siren,SWha,Priv,Elegg
Carol,Porter,24000000000,Grave,Liter,Rapi,Raven,Summer Helm
Carol,Porter,23000000000,Crown,Moran,Rapi,Thelm,Mast
Carol,Porter,22000000000,Crown,Siren,Rapi,Thelm,Priv
Emma,Material H,44000000000,Siren,Nayuta,SBS,Lib,Velvet
Emma,Land Eater,20000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Emma,Land Eater,19000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Emma,Rebuild Fingers,23000000000,Crown,Siren,Rapi,Mihara,Priv
Emma,Rebuild Fingers,22000000000,Rapi,Brid,Thelm,Diesel,Mihara
Emma,Rebuild Fingers,21000000000,Crown,Siren,Rapi,Mihara,Mast
Emma,Plate,18000000000,Crown,Siren,SWha,Priv,Elegg
Emma,Plate,17000000000,Crown,Moran,SWha,Priv,Thelm
Emma,Porter,27000000000,Crown,Moran,Rapi,Thelm,Mast
Emma,Porter,26000000000,Grave,Liter,Rapi,Raven,Summer Helm
Emma,Porter,25000000000,Crown,Siren,Rapi,Thelm,Priv
Frank,Material H,31000000000,Siren,Nayuta,SBS,Lib,Velvet
Frank,Land Eater,27000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Frank,Land Eater,26000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Frank,Rebuild Fingers,19000000000,Rapi,Brid,Thelm,Diesel,Mihara
Frank,Rebuild Fingers,18000000000,Crown,Siren,Rapi,Mihara,Mast
Frank,Rebuild Fingers,17000000000,Crown,Siren,Rapi,Mihara,Priv
Frank,Plate,25000000000,Crown,Moran,SWha,Priv,Thelm
Frank,Plate,24000000000,Crown,Siren,SWha,Priv,Elegg
Frank,Porter,16000000000,Crown,Siren,Rapi,Thelm,Priv
Frank,Porter,15000000000,Grave,Liter,Rapi,Raven,Summer Helm
Frank,Porter,15000000000,Crown,Moran,Rapi,Thelm,Mast
Grace,Material H,49000000000,Siren,Nayuta,SBS,Lib,Velvet
Grace,Land Eater,23000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Grace,Land Eater,22000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Grace,Rebuild Fingers,16000000000,Crown,Siren,Rapi,Mihara,Mast
Grace,Rebuild Fingers,15000000000,Rapi,Brid,Thelm,Diesel,Mihara
Grace,Rebuild Fingers,15000000000,Crown,Siren,Rapi,Mihara,Priv
Grace,Plate,29000000000,Crown,Siren,SWha,Priv,Elegg
Grace,Plate,28000000000,Crown,Moran,SWha,Priv,Thelm
Grace,Porter,20000000000,Grave,Liter,Rapi,Raven,Summer Helm
Grace,Porter,19000000000,Crown,Moran,Rapi,Thelm,Mast
Grace,Porter,18000000000,Crown,Siren,Rapi,Thelm,Priv
Henry,Material H,36000000000,Siren,Nayuta,SBS,Lib,Velvet
Henry,Land Eater,19000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Henry,Land Eater,18000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Henry,Rebuild Fingers,26000000000,Crown,Siren,Rapi,Mihara,Priv
Henry,Rebuild Fingers,25000000000,Rapi,Brid,Thelm,Diesel,Mihara
Henry,Rebuild Fingers,24000000000,Crown,Siren,Rapi,Mihara,Mast
Henry,Plate,17000000000,Crown,Moran,SWha,Priv,Thelm
Henry,Plate,16000000000,Crown,Siren,SWha,Priv,Elegg
Henry,Porter,22000000000,Crown,Moran,Rapi,Thelm,Mast
Henry,Porter,21000000000,Grave,Liter,Rapi,Raven,Summer Helm
Henry,Porter,20000000000,Crown,Siren,Rapi,Thelm,Priv
Isabel,Material H,43000000000,Siren,Nayuta,SBS,Lib,Velvet
Isabel,Land Eater,28000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Isabel,Land Eater,27000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Isabel,Rebuild Fingers,21000000000,Rapi,Brid,Thelm,Diesel,Mihara
Isabel,Rebuild Fingers,20000000000,Crown,Siren,Rapi,Mihara,Mast
Isabel,Rebuild Fingers,19000000000,Crown,Siren,Rapi,Mihara,Priv
Isabel,Plate,24000000000,Crown,Siren,SWha,Priv,Elegg
Isabel,Plate,23000000000,Crown,Moran,SWha,Priv,Thelm
Isabel,Porter,18000000000,Crown,Siren,Rapi,Thelm,Priv
Isabel,Porter,17000000000,Grave,Liter,Rapi,Raven,Summer Helm
Isabel,Porter,16000000000,Crown,Moran,Rapi,Thelm,Mast
Jack,Material H,39000000000,Siren,Nayuta,SBS,Lib,Velvet
Jack,Land Eater,17000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Jack,Land Eater,16000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Jack,Rebuild Fingers,29000000000,Crown,Siren,Rapi,Mihara,Mast
Jack,Rebuild Fingers,28000000000,Rapi,Brid,Thelm,Diesel,Mihara
Jack,Rebuild Fingers,27000000000,Crown,Siren,Rapi,Mihara,Priv
Jack,Plate,20000000000,Crown,Moran,SWha,Priv,Thelm
Jack,Plate,19000000000,Crown,Siren,SWha,Priv,Elegg
Jack,Porter,25000000000,Grave,Liter,Rapi,Raven,Summer Helm
Jack,Porter,24000000000,Crown,Moran,Rapi,Thelm,Mast
Jack,Porter,23000000000,Crown,Siren,Rapi,Thelm,Priv
Kate,Material H,46000000000,Siren,Nayuta,SBS,Lib,Velvet
Kate,Land Eater,24000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Kate,Land Eater,23000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Kate,Rebuild Fingers,18000000000,Rapi,Brid,Thelm,Diesel,Mihara
Kate,Rebuild Fingers,17000000000,Crown,Siren,Rapi,Mihara,Mast
Kate,Rebuild Fingers,16000000000,Crown,Siren,Rapi,Mihara,Priv
Kate,Plate,28000000000,Crown,Siren,SWha,Priv,Elegg
Kate,Plate,27000000000,Crown,Moran,SWha,Priv,Thelm
Kate,Porter,16000000000,Crown,Moran,Rapi,Thelm,Mast
Kate,Porter,15000000000,Grave,Liter,Rapi,Raven,Summer Helm
Kate,Porter,15000000000,Crown,Siren,Rapi,Thelm,Priv
Leo,Material H,33000000000,Siren,Nayuta,SBS,Lib,Velvet
Leo,Land Eater,21000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Leo,Land Eater,20000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Leo,Rebuild Fingers,27000000000,Crown,Siren,Rapi,Mihara,Priv
Leo,Rebuild Fingers,26000000000,Rapi,Brid,Thelm,Diesel,Mihara
Leo,Rebuild Fingers,25000000000,Crown,Siren,Rapi,Mihara,Mast
Leo,Plate,16000000000,Crown,Moran,SWha,Priv,Thelm
Leo,Plate,15000000000,Crown,Siren,SWha,Priv,Elegg
Leo,Porter,23000000000,Crown,Siren,Rapi,Thelm,Priv
Leo,Porter,22000000000,Grave,Liter,Rapi,Raven,Summer Helm
Leo,Porter,21000000000,Crown,Moran,Rapi,Thelm,Mast
Maya,Material H,41000000000,Siren,Nayuta,SBS,Lib,Velvet
Maya,Land Eater,26000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Maya,Land Eater,25000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Maya,Rebuild Fingers,22000000000,Rapi,Brid,Thelm,Diesel,Mihara
Maya,Rebuild Fingers,21000000000,Crown,Siren,Rapi,Mihara,Mast
Maya,Rebuild Fingers,20000000000,Crown,Siren,Rapi,Mihara,Priv
Maya,Plate,19000000000,Crown,Siren,SWha,Priv,Elegg
Maya,Plate,18000000000,Crown,Moran,SWha,Priv,Thelm
Maya,Porter,28000000000,Grave,Liter,Rapi,Raven,Summer Helm
Maya,Porter,27000000000,Crown,Moran,Rapi,Thelm,Mast
Maya,Porter,26000000000,Crown,Siren,Rapi,Thelm,Priv
Nathan,Material H,37000000000,Siren,Nayuta,SBS,Lib,Velvet
Nathan,Land Eater,16000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Nathan,Land Eater,15000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Nathan,Rebuild Fingers,25000000000,Crown,Siren,Rapi,Mihara,Mast
Nathan,Rebuild Fingers,24000000000,Rapi,Brid,Thelm,Diesel,Mihara
Nathan,Rebuild Fingers,23000000000,Crown,Siren,Rapi,Mihara,Priv
Nathan,Plate,23000000000,Crown,Moran,SWha,Priv,Thelm
Nathan,Plate,22000000000,Crown,Siren,SWha,Priv,Elegg
Nathan,Porter,20000000000,Crown,Moran,Rapi,Thelm,Mast
Nathan,Porter,19000000000,Grave,Liter,Rapi,Raven,Summer Helm
Nathan,Porter,18000000000,Crown,Siren,Rapi,Thelm,Priv
Olivia,Material H,48000000000,Siren,Nayuta,SBS,Lib,Velvet
Olivia,Land Eater,22000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Olivia,Land Eater,21000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Olivia,Rebuild Fingers,17000000000,Crown,Siren,Rapi,Mihara,Priv
Olivia,Rebuild Fingers,16000000000,Rapi,Brid,Thelm,Diesel,Mihara
Olivia,Rebuild Fingers,16000000000,Crown,Siren,Rapi,Mihara,Mast
Olivia,Plate,27000000000,Crown,Siren,SWha,Priv,Elegg
Olivia,Plate,26000000000,Crown,Moran,SWha,Priv,Thelm
Olivia,Porter,19000000000,Crown,Siren,Rapi,Thelm,Priv
Olivia,Porter,18000000000,Grave,Liter,Rapi,Raven,Summer Helm
Olivia,Porter,17000000000,Crown,Moran,Rapi,Thelm,Mast
Peter,Material H,34000000000,Siren,Nayuta,SBS,Lib,Velvet
Peter,Land Eater,29000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Peter,Land Eater,28000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Peter,Rebuild Fingers,20000000000,Rapi,Brid,Thelm,Diesel,Mihara
Peter,Rebuild Fingers,19000000000,Crown,Siren,Rapi,Mihara,Mast
Peter,Rebuild Fingers,18000000000,Crown,Siren,Rapi,Mihara,Priv
Peter,Plate,18000000000,Crown,Moran,SWha,Priv,Thelm
Peter,Plate,17000000000,Crown,Siren,SWha,Priv,Elegg
Peter,Porter,26000000000,Grave,Liter,Rapi,Raven,Summer Helm
Peter,Porter,25000000000,Crown,Moran,Rapi,Thelm,Mast
Peter,Porter,24000000000,Crown,Siren,Rapi,Thelm,Priv
Quinn,Material H,45000000000,Siren,Nayuta,SBS,Lib,Velvet
Quinn,Land Eater,18000000000,Cinderella,Rouge,Sanis,B.Ade,X Maiden
Quinn,Land Eater,17000000000,Cinderella,Rouge,Sanis,Crown,X Maiden
Quinn,Rebuild Fingers,24000000000,Crown,Siren,Rapi,Mihara,Mast
Quinn,Rebuild Fingers,23000000000,Rapi,Brid,Thelm,Diesel,Mihara
Quinn,Rebuild Fingers,22000000000,Crown,Siren,Rapi,Mihara,Priv
Quinn,Plate,22000000000,Crown,Siren,SWha,Priv,Elegg
